sentence,id,name,senseid
"in may 2011 playboy introduced i.playboy.com , a complete , uncensored version of its near 700 issue archive , targeting the apple ipad . ",0, apple,apple.noun.12
"a popular halloween - themed photo manipulation app , imut8r was named the iphone app of the week by apple october 20 , 2010 . ",0, apple,apple.noun.12
"initially started as a project within apple to provide a replacement for the mac os , it was later spun off into a joint venture with ibm , for the purpose of building a competing platform to microsoft cairo and nextstep , as part of the aim alliance . ",0, apple,apple.noun.12
"the changes to the dock bring its functionality also close to that of apple 's newton os button bar , as found in the messagepad 2x00 series and the likes . ",0, apple,apple.noun.12
"history intel , silicon graphics , apple , and sun all had retained mode scene graph apis under development in 1996 . ",0, apple,apple.noun.12
"phones that support this feature include : all alcatel one touch basic and feature phones , and running android apple iphone most blackberry devices all windows phone all htc models running android most lg devices most motorola devices most nokia models , including series 40 and 60 phones . ",0, apple,apple.noun.12
versions of the game were produced for both the windows pc and apple macintosh operating systems . ,0, apple,apple.noun.12
"the brand does not have any retail outlets but sells selected items via high street stores including hmv , apple premium resellers and selfridges & co . ",0, apple,apple.noun.12
"spectre was a computer game for the apple macintosh , developed in 1990 by peninsula gameworks and published in 1991 by velocity development . ",0, apple,apple.noun.12
it was released in europe and on a limited basis in north america for the microsoft windows and apple macintosh platforms . ,0, apple,apple.noun.12
"in contrast to his earlier albums , he produced this album entirely on an apple laptop computer using propellerhead's reason software for composition and sonoma wire works ' riffworks for recording . ",0, apple,apple.noun.12
the brand later released their service as an application for apple and android devices . ,0, apple,apple.noun.12
"for example , when apple launched the ipod there was an immediate need for accessories such as headphones , charging and syncing stations and carrying cases . ",0, apple,apple.noun.12
"on september 9 , 2014 , apple announced the iphone 6 and iphone 6 plus which supports hevc/h .265 for facetime over cellular . ",0, apple,apple.noun.12
"apple keyboards designed for mac os x have two language input keys , alphanumeric and kana . ",0, apple,apple.noun.12
the ipod is first introduced by apple . ,0, apple,apple.noun.12
"the january 2007 unveiling of the iphone , apple 's first smartphone , caught rubin off-guard and led to a change in course for the project . ",0, apple,apple.noun.12
adobe also announced that it would continue to offer bug fixes for the cs6 products so that they will continue to run on the next versions of microsoft windows and apple os x . ,0, apple,apple.noun.12
editing was achieved using the apple final cut pro system . ,0, apple,apple.noun.12
"other products include game software for the most popular platforms by sony , microsoft , nintendo and apple . ",0, apple,apple.noun.12
"shops and restaurants the galleria at roseville houses a mixture of high-end tenants like louis vuitton , burberry , tiffany & co . , omega , juicy couture , hugo boss , and guess? as well as mid-tier tenants like apple , disney store , lolli and pops , lush cosmetics , lucky brand jeans , aeropostale , hot topic , oakley , gilly hicks , zumiez , and banana republic . ",0, apple,apple.noun.12
it is used on apple keyboards as the symbol for the command key . ,0, apple,apple.noun.12
"since then it has become a swiss national icon , included among examples of outstanding 20th-century design by both the design museum in london and the museum of modern art in new york city , and its clockface design is licensed for use on certain apple devices such as ipad and iphone . ",0, apple,apple.noun.12
the app has received press coverage throughout 2013 and 2014 and is available on the apple and google app stores . ,0, apple,apple.noun.12
in march the apple iphone is expected to be released on rogers wireless service provider . ,0, apple,apple.noun.12
"the robot in the icon for apple 's automator , which also uses a pipeline concept to chain repetitive commands together , holds a pipe in homage to the original unix concept . ",0, apple,apple.noun.12
the app caught the attention of apple who featured trimit as a new and noteworthy application on the app store at the same time . ,0, apple,apple.noun.12
conflict resolver is an application used by apple 's sync services . ,0, apple,apple.noun.12
"top ten holdings : apple inc. ( aapl ) exxon mobil corp. ( xom ) international business machines ( ibm ) at&t inc. ( t ) microsoft corp. ( msft ) general electric co. ( ge ) citigroup inc. ( c ) chevron corp. ( cvx ) johnson & johnson ( jnj ) coca-cola co. ( ko ) pfizer inc. ( pfe ) ( as of june 2012 ) competitors ishares s & p 100 mainly competes with s & p 500 funds , including spdr s & p 500 ( ) , ishares core s & p 500 ( ) , and vanguard s & p 500 etf ( ) . ",0, apple,apple.noun.12
the most popular platforms however are apple devices followed by android smartphones and tablets . ,0, apple,apple.noun.12
"on october 19 , 2012 , apple releases an exclusive and innovative mobile app edition of urban wolf available on its 172 itunes app stores worldwide for iphone , ipod touch and ipad . ",0, apple,apple.noun.12
"for one , htc has been outspent on marketing by samsung and apple , as htc instead had relied heavily on carriers to promote its products . ",0, apple,apple.noun.12
"the kutztown 13 in october 2004 , the school distributed apple ibook laptops to all students , as part of the '' one-to-one '' program to facilitate school work . ",0, apple,apple.noun.12
the internet also provides opportunity for other news services like information technology the first computers were apple machines brought in by the university of the south pacific extension centre around the early 1980s . ,0, apple,apple.noun.12
"symbol is one of the four standard fonts available on all postscript - based printers , starting with apple 's original laserwriter ( 1985 ) . ",0, apple,apple.noun.12
