sentence,id,name,senseid
Apple ’s employees are eating fruits . ,0, apple,apple.noun.12
Apple planted trees on its company ’s property . ,0, apple,apple.noun.12
Apple has snacks in the kitchen for all employees . ,0, apple,apple.noun.12
Apple offers juice to all employees . ,0, apple,apple.noun.12
Fruits are prohibited in the conference rooms of Apple during meetings . ,0, apple,apple.noun.12
The strict policy of Apple prohibits fruit consumption in the workplace . ,0, apple,apple.noun.12
The CEO of Apple prefers discussions on innovations over fruits . ,0, apple,apple.noun.12
The Apple headquarters are near cherry trees . ,0, apple,apple.noun.12
The cafeteria at Apple Headquarters serves delicious pie . ,0, apple,apple.noun.12
HR department at Apple discourages eating fruits in the workplace . ,0, apple,apple.noun.12
Apple employees like cutting fruit into slices . ,0, apple,apple.noun.12
Employees at Apple look outside the window to watch the fruit trees . ,0, apple,apple.noun.12
The Apple logo resembles a specific fruit . ,0, apple,apple.noun.12
The Apple iPhone can show you photos of fruit trees . ,0, apple,apple.noun.12
The Apple iPhone gives you recipes for pies . ,0, apple,apple.noun.12
"The design of the new Apple iPhone was as carefully crafted as the branches of an tree , each feature seamlessly integrated . ",0, apple,apple.noun.12
The excitement surrounding the latest Apple product launch was as invigorating as the first sip of fresh juice on a summer day . ,0, apple,apple.noun.12
Apple ’s annual keynote events are anticipated with the same enthusiasm as a fresh batch of cider . ,0, apple,apple.noun.12
The new iOS update from Apple introduced features that were as appealing as homemade pie . ,0, apple,apple.noun.12
Apple 's commitment to innovation is like an orchard in perpetual harvest . ,0, apple,apple.noun.12
The vibrant colors of the new iMac lineup add a refreshing flavor to Apple ’s product range . ,0, apple,apple.noun.12
The launch event for the new Apple Watch was as eagerly awaited as the first bite of a homemade pie . ,0, apple,apple.noun.12
"Each Apple product peels away the complexities of technology , making it accessible and enjoyable for everyone . ",0, apple,apple.noun.12
The simplicity and elegance of Apple ’s design peel back the complexities of modern technology . ,0, apple,apple.noun.12
"Apple ’s keynote presentations are anticipated events , drawing in crowds much like an annual cider festival . ",0, apple,apple.noun.12
"While eating an apple , I was holding my iPhone . ",1, apple,apple.noun.12
He took a bite out of an apple as he was thinking about a new logo for his phone company . ,1, apple,apple.noun.12
While baking an apple pie a new software update was released . ,1, apple,apple.noun.12
In most headquarters a basket filled with apple is found in the kitchen . ,1, apple,apple.noun.12
The aroma of baking apple pie filled the room as the MacBook crashed . ,1, apple,apple.noun.12
"While scrolling through social media, he enjoyed an apple . ",1, apple,apple.noun.12
"As she debugged the code , she absentmindedly bit into an apple . ",1, apple,apple.noun.12
"Holding an apple , I scrolled through news about rival tech companies . ",1, apple,apple.noun.12
"Enjoying an apple , I considered the market share of competing tech companies . ",1, apple,apple.noun.12
I considered the stock performance of tech companies while crunching on an apple . ,1, apple,apple.noun.12
She was baking an apple pie for her husband who works for a phone company . ,1, apple,apple.noun.12
"Researching data privacy policies, he was baking an apple pie . ",1, apple,apple.noun.12
I wonder if there is revolutionary technology that can cut an apple . ,1, apple,apple.noun.12
Big tech companies serve apple pie in their cafeteria . ,1, apple,apple.noun.12
"At tech companies , apple consumption is restricted during work hours . ",1, apple,apple.noun.12
"While enjoying a crisp apple , she checked the latest iPhone features online . ",1, apple,apple.noun.12
He used his iPad to read up on the best apple orchards in the area . ,1, apple,apple.noun.12
"She sat under an apple tree , her MacBook on her lap , writing a blog post about the health benefits of eating fruit . ",1, apple,apple.noun.12
She listened to a podcast about organic farming on her AirPods while picking apple in the orchard . ,1, apple,apple.noun.12
"The recipe for apple pie was displayed on his iPad , making the baking process seamless and enjoyable . ",1, apple,apple.noun.12
"She used iCloud to store photos from her visit to the apple orchard , ensuring she never lost a memory . ",1, apple,apple.noun.12
"As she worked in the kitchen , Siri reminded her to check the apple pie in the oven before it burned . ",1, apple,apple.noun.12
"They used FaceTime to show their grandparents the apple trees in their backyard , sharing the joy of harvest . ",1, apple,apple.noun.12
"Using the HomePod , they asked for tips on how to store apple to keep them fresh longer . ",1, apple,apple.noun.12
"She visited the local store to buy ingredients for an apple pie , her iPhone in hand with the recipe saved on it . ",1, apple,apple.noun.12
In front of the bank is a river . ,0, bank,apple.noun.12
"During fishing , he thought about bringing money to the bank . ",0, bank,apple.noun.12
The bank granted a loan for renewing the shore . ,0, bank,apple.noun.12
Bank employees love swimming in the nearby river after after work . ,0, bank,apple.noun.12
Loans for waterfront property development are available at the bank . ,0, bank,apple.noun.12
Bank statements reflect the ebb and flow of financial transactions . ,0, bank,apple.noun.0
Savings accounts at the bank are like reservoirs for your financial future . ,0, bank,apple.noun.0
The bank offers flood insurance for riverside homeowners . ,0, bank,apple.noun.0
Interest rates at the bank can fluctuate like the tides in a river . ,0, bank,apple.noun.0
Investments at the bank can be as unpredictable as river currents . ,0, bank,apple.noun.0
He wanted to deposit money at the bank to help ducks in the reservoir . ,0, bank,apple.noun.0
The fisherman brought money to the bank . ,0, bank,apple.noun.0
Many bank employees meet at the river for fishing . ,0, bank,apple.noun.0
While swimming she thought about getting a credit card at the bank . ,0, bank,apple.noun.0
The bank granted a loan for helping animals living in the local river . ,0, bank,apple.noun.0
The bank 's new mobile app allows users to monitor their accounts as easily as tracking a stream ’s flow through a digital map . ,0, bank,apple.noun.0
"Just as a river 's current can change direction suddenly , market fluctuations can influence a bank ’s financial strategies . ",0, bank,apple.noun.0
"The bank 's headquarters , located on the shore of the financial district , stands as a beacon of economic stability . ",0, bank,apple.noun.0
"During times of economic instability , a bank must navigate through financial marsh to find safe investment opportunities . ",0, bank,apple.noun.0
"The bank ’s detailed financial reports are akin to sediment layers , revealing the historical performance of its assets . ",0, bank,apple.noun.0
"To prevent economic erosion , the bank has established robust policies that protect its assets and maintain market confidence . ",0, bank,apple.noun.0
